Success,Success Status,Failed
SQBIR-093842-001C,Assigned RPA Successfully,
SQBIR-093842-003C,Assigned RPA Successfully,
SQBIR-093842-007C,Assigned RPA Successfully,
SQBIR-093842-010C,Assigned RPA Successfully,
SQBIR-093842-012C,Assigned RPA Successfully,
SQBIR-093842-019C,Assigned RPA Successfully,
SQBIR-093842-023C,Assigned RPA Successfully,
SQBIR-093842-033C,Assigned RPA Successfully,
SQBIR-093842-017C,Assigned RPA Successfully,
SQBIR-093843-001C,Assigned RPA Successfully,
SQBIR-093843-003C,Assigned RPA Successfully,
SQBIR-093843-007C,Assigned RPA Successfully,
SQBIR-093843-010C,Assigned RPA Successfully,
SQBIR-093843-012C,Assigned RPA Successfully,
SQBIR-093843-019C,Assigned RPA Successfully,
SQBIR-093843-023C,Assigned RPA Successfully,
SQBIR-093843-033C,Assigned RPA Successfully,
SQBIR-093843-017C,Assigned RPA Successfully,
SQBIR-093844-001C,Assigned RPA Successfully,
SQBIR-093844-003C,Assigned RPA Successfully,
SQBIR-093844-007C,Assigned RPA Successfully,
SQBIR-093844-010C,Assigned RPA Successfully,
SQBIR-093844-012C,Assigned RPA Successfully,
SQBIR-093844-019C,Assigned RPA Successfully,
SQBIR-093844-023C,Assigned RPA Successfully,
SQBIR-093844-033C,Assigned RPA Successfully,
SQBIR-093844-017C,Assigned RPA Successfully,
SQBIR-093845-001C,Assigned RPA Successfully,
SQBIR-093845-003C,Assigned RPA Successfully,
SQBIR-093845-007C,Assigned RPA Successfully,
SQBIR-093845-010C,Assigned RPA Successfully,
SQBIR-093845-012C,Assigned RPA Successfully,
SQBIR-093845-019C,Assigned RPA Successfully,
SQBIR-093845-023C,Assigned RPA Successfully,
SQBIR-093845-033C,Assigned RPA Successfully,
SQBIR-093845-017C,Assigned RPA Successfully,
SQBIR-093766-001B,Assigned RPA Successfully,
SQBIR-093766-003B,Assigned RPA Successfully,
SQBIR-093766-007B,Assigned RPA Successfully,
SQBIR-093766-010B,Assigned RPA Successfully,
SQBIR-093766-012B,Assigned RPA Successfully,
SQBIR-093766-020B,Assigned RPA Successfully,
SQBIR-093766-032B,Assigned RPA Successfully,
SQBIR-093766-019B,Assigned RPA Successfully,
SQBIR-093767-001B,Assigned RPA Successfully,
SQBIR-093767-003B,Assigned RPA Successfully,
SQBIR-093767-007B,Assigned RPA Successfully,
SQBIR-093767-010B,Assigned RPA Successfully,
SQBIR-093767-012B,Assigned RPA Successfully,
SQBIR-093767-020B,Assigned RPA Successfully,
SQBIR-093767-032B,Assigned RPA Successfully,
SQBIR-093767-019B,Assigned RPA Successfully,
SQBIR-093768-001B,Assigned RPA Successfully,
SQBIR-093768-003B,Assigned RPA Successfully,
SQBIR-093768-007B,Assigned RPA Successfully,
SQBIR-093768-010B,Assigned RPA Successfully,
SQBIR-093768-012B,Assigned RPA Successfully,
SQBIR-093768-020B,Assigned RPA Successfully,
SQBIR-093768-032B,Assigned RPA Successfully,
SQBIR-093768-019B,Assigned RPA Successfully,
SQBIR-093769-001B,Assigned RPA Successfully,
SQBIR-093769-003B,Assigned RPA Successfully,
SQBIR-093769-007B,Assigned RPA Successfully,
SQBIR-093769-010B,Assigned RPA Successfully,
SQBIR-093769-012B,Assigned RPA Successfully,
SQBIR-093769-020B,Assigned RPA Successfully,
SQBIR-093769-032B,Assigned RPA Successfully,
SQBIR-093769-019B,Assigned RPA Successfully,
SQBIR-093770-001B,Assigned RPA Successfully,
SQBIR-093770-003B,Assigned RPA Successfully,
SQBIR-093770-007B,Assigned RPA Successfully,
SQBIR-093770-010B,Assigned RPA Successfully,
SQBIR-093770-012B,Assigned RPA Successfully,
SQBIR-093770-020B,Assigned RPA Successfully,
SQBIR-093770-032B,Assigned RPA Successfully,
SQBIR-093770-019B,Assigned RPA Successfully,
SQBIR-093771-001B,Assigned RPA Successfully,
SQBIR-093771-003B,Assigned RPA Successfully,
SQBIR-093771-007B,Assigned RPA Successfully,
SQBIR-093771-010B,Assigned RPA Successfully,
SQBIR-093771-012B,Assigned RPA Successfully,
SQBIR-093771-020B,Assigned RPA Successfully,
SQBIR-093771-032B,Assigned RPA Successfully,
SQBIR-093771-019B,Assigned RPA Successfully,
SQBIR-093772-001B,Assigned RPA Successfully,
SQBIR-093772-003B,Assigned RPA Successfully,
SQBIR-093772-007B,Assigned RPA Successfully,
SQBIR-093772-010B,Assigned RPA Successfully,
SQBIR-093772-012B,Assigned RPA Successfully,
SQBIR-093772-020B,Assigned RPA Successfully,
SQBIR-093772-032B,Assigned RPA Successfully,
SQBIR-093772-019B,Assigned RPA Successfully,
SQBIR-093773-001B,Assigned RPA Successfully,
SQBIR-093773-003B,Assigned RPA Successfully,
SQBIR-093773-007B,Assigned RPA Successfully,
SQBIR-093773-010B,Assigned RPA Successfully,
SQBIR-093773-012B,Assigned RPA Successfully,
SQBIR-093773-020B,Assigned RPA Successfully,
SQBIR-093773-032B,Assigned RPA Successfully,
SQBIR-093773-019B,Assigned RPA Successfully,
SQBIR-093821-001B,Assigned RPA Successfully,
SQBIR-093821-003B,Assigned RPA Successfully,
SQBIR-093821-007B,Assigned RPA Successfully,
SQBIR-093821-010B,Assigned RPA Successfully,
SQBIR-093821-012B,Assigned RPA Successfully,
SQBIR-093821-019B,Assigned RPA Successfully,
SQBIR-093821-031B,Assigned RPA Successfully,
SQBIR-093821-018B,Assigned RPA Successfully,
SQBIR-093822-001B,Assigned RPA Successfully,
SQBIR-093822-003B,Assigned RPA Successfully,
SQBIR-093822-007B,Assigned RPA Successfully,
SQBIR-093822-010B,Assigned RPA Successfully,
SQBIR-093822-012B,Assigned RPA Successfully,
SQBIR-093822-019B,Assigned RPA Successfully,
SQBIR-093822-031B,Assigned RPA Successfully,
SQBIR-093822-018B,Assigned RPA Successfully,
SQBIR-093823-001B,Assigned RPA Successfully,
SQBIR-093823-003B,Assigned RPA Successfully,
SQBIR-093823-007B,Assigned RPA Successfully,
SQBIR-093823-010B,Assigned RPA Successfully,
SQBIR-093823-012B,Assigned RPA Successfully,
SQBIR-093823-019B,Assigned RPA Successfully,
SQBIR-093823-031B,Assigned RPA Successfully,
SQBIR-093823-018B,Assigned RPA Successfully,
SQBIR-093792-001,Assigned RPA Successfully,
SQBIR-093792-003,Assigned RPA Successfully,
SQBIR-093792-007,Assigned RPA Successfully,
SQBIR-093792-010,Assigned RPA Successfully,
SQBIR-093792-012,Assigned RPA Successfully,
SQBIR-093792-017,Assigned RPA Successfully,
SQBIR-093792-029,Assigned RPA Successfully,
SQBIR-093792-016,Assigned RPA Successfully,
SQBIR-093793-001,Assigned RPA Successfully,
SQBIR-093793-003,Assigned RPA Successfully,
SQBIR-093793-007,Assigned RPA Successfully,
SQBIR-093793-010,Assigned RPA Successfully,
SQBIR-093793-012,Assigned RPA Successfully,
SQBIR-093793-017,Assigned RPA Successfully,
SQBIR-093793-029,Assigned RPA Successfully,
